time,day,road_id,vehicles
00:00,Monday,R101,287
00:00,Monday,R102,184
00:00,Monday,R103,258
00:00,Monday,R104,181
00:00,Monday,R105,170
00:00,Monday,R106,115
00:00,Monday,R107,149
00:00,Monday,R108,118
00:00,Monday,R109,142
00:00,Monday,R110,223
00:00,Monday,R111,120
00:00,Monday,R112,208
00:15,Monday,R101,281
00:15,Monday,R102,139
00:15,Monday,R103,199
00:15,Monday,R104,129
00:15,Monday,R105,151
00:15,Monday,R106,129
00:15,Monday,R107,87
00:15,Monday,R108,80
00:15,Monday,R109,191
00:15,Monday,R110,203
00:15,Monday,R111,134
00:15,Monday,R112,184
00:30,Monday,R101,261
00:30,Monday,R102,190
00:30,Monday,R103,213
00:30,Monday,R104,152
00:30,Monday,R105,161
00:30,Monday,R106,114
00:30,Monday,R107,95
00:30,Monday,R108,145
00:30,Monday,R109,154
00:30,Monday,R110,183
00:30,Monday,R111,153
00:30,Monday,R112,189
00:45,Monday,R101,280
00:45,Monday,R102,138
00:45,Monday,R103,209
00:45,Monday,R104,148
00:45,Monday,R105,194
00:45,Monday,R106,125
00:45,Monday,R107,107
00:45,Monday,R108,91
00:45,Monday,R109,117
00:45,Monday,R110,191
00:45,Monday,R111,120
00:45,Monday,R112,246
01:00,Monday,R101,284
01:00,Monday,R102,143
01:00,Monday,R103,250
01:00,Monday,R104,133
01:00,Monday,R105,159
01:00,Monday,R106,136
01:00,Monday,R107,136
01:00,Monday,R108,122
01:00,Monday,R109,133
01:00,Monday,R110,201
01:00,Monday,R111,140
01:00,Monday,R112,244
01:15,Monday,R101,263
01:15,Monday,R102,182
01:15,Monday,R103,214
01:15,Monday,R104,113
01:15,Monday,R105,196
01:15,Monday,R106,155
01:15,Monday,R107,108
01:15,Monday,R108,124
01:15,Monday,R109,163
01:15,Monday,R110,193
01:15,Monday,R111,141
01:15,Monday,R112,258
01:30,Monday,R101,274
01:30,Monday,R102,226
01:30,Monday,R103,177
01:30,Monday,R104,164
01:30,Monday,R105,178
01:30,Monday,R106,114
01:30,Monday,R107,112
01:30,Monday,R108,80
01:30,Monday,R109,149
01:30,Monday,R110,218
01:30,Monday,R111,169
01:30,Monday,R112,207
01:45,Monday,R101,255
01:45,Monday,R102,174
01:45,Monday,R103,265
01:45,Monday,R104,151
01:45,Monday,R105,163
01:45,Monday,R106,134
01:45,Monday,R107,112
01:45,Monday,R108,123
01:45,Monday,R109,136
01:45,Monday,R110,201
01:45,Monday,R111,122
01:45,Monday,R112,183
02:00,Monday,R101,282
02:00,Monday,R102,194
02:00,Monday,R103,242
02:00,Monday,R104,137
02:00,Monday,R105,141
02:00,Monday,R106,110
02:00,Monday,R107,101
02:00,Monday,R108,80
02:00,Monday,R109,150
02:00,Monday,R110,219
02:00,Monday,R111,179
02:00,Monday,R112,224
02:15,Monday,R101,281
02:15,Monday,R102,185
02:15,Monday,R103,194
02:15,Monday,R104,142
02:15,Monday,R105,178
02:15,Monday,R106,183
02:15,Monday,R107,105
02:15,Monday,R108,107
02:15,Monday,R109,153
02:15,Monday,R110,180
02:15,Monday,R111,161
02:15,Monday,R112,239
02:30,Monday,R101,295
02:30,Monday,R102,164
02:30,Monday,R103,277
02:30,Monday,R104,108
02:30,Monday,R105,191
02:30,Monday,R106,176
02:30,Monday,R107,85
02:30,Monday,R108,85
02:30,Monday,R109,156
02:30,Monday,R110,196
02:30,Monday,R111,93
02:30,Monday,R112,222
02:45,Monday,R101,248
02:45,Monday,R102,199
02:45,Monday,R103,219
02:45,Monday,R104,182
02:45,Monday,R105,156
02:45,Monday,R106,113
02:45,Monday,R107,130
02:45,Monday,R108,80
02:45,Monday,R109,160
02:45,Monday,R110,242
02:45,Monday,R111,92
02:45,Monday,R112,225
03:00,Monday,R101,281
03:00,Monday,R102,207
03:00,Monday,R103,211
03:00,Monday,R104,110
03:00,Monday,R105,189
03:00,Monday,R106,128
03:00,Monday,R107,116
03:00,Monday,R108,108
03:00,Monday,R109,137
03:00,Monday,R110,215
03:00,Monday,R111,139
03:00,Monday,R112,202
03:15,Monday,R101,322
03:15,Monday,R102,199
03:15,Monday,R103,212
03:15,Monday,R104,159
03:15,Monday,R105,152
03:15,Monday,R106,141
03:15,Monday,R107,139
03:15,Monday,R108,80
03:15,Monday,R109,178
03:15,Monday,R110,219
03:15,Monday,R111,153
03:15,Monday,R112,267
03:30,Monday,R101,269
03:30,Monday,R102,168
03:30,Monday,R103,220
03:30,Monday,R104,123
03:30,Monday,R105,174
03:30,Monday,R106,130
03:30,Monday,R107,117
03:30,Monday,R108,120
03:30,Monday,R109,154
03:30,Monday,R110,245
03:30,Monday,R111,125
03:30,Monday,R112,288
03:45,Monday,R101,291
03:45,Monday,R102,166
03:45,Monday,R103,215
03:45,Monday,R104,155
03:45,Monday,R105,170
03:45,Monday,R106,139
03:45,Monday,R107,122
03:45,Monday,R108,97
03:45,Monday,R109,133
03:45,Monday,R110,171
03:45,Monday,R111,121
03:45,Monday,R112,241
04:00,Monday,R101,280
04:00,Monday,R102,156
04:00,Monday,R103,246
04:00,Monday,R104,153
04:00,Monday,R105,154
04:00,Monday,R106,125
04:00,Monday,R107,111
04:00,Monday,R108,80
04:00,Monday,R109,163
04:00,Monday,R110,223
04:00,Monday,R111,159
04:00,Monday,R112,246
04:15,Monday,R101,241
04:15,Monday,R102,164
04:15,Monday,R103,255
04:15,Monday,R104,156
04:15,Monday,R105,189
04:15,Monday,R106,217
04:15,Monday,R107,124
04:15,Monday,R108,127
04:15,Monday,R109,178
04:15,Monday,R110,225
04:15,Monday,R111,124
04:15,Monday,R112,239
04:30,Monday,R101,256
04:30,Monday,R102,181
04:30,Monday,R103,230
04:30,Monday,R104,145
04:30,Monday,R105,234
04:30,Monday,R106,80
04:30,Monday,R107,127
04:30,Monday,R108,80
04:30,Monday,R109,142
04:30,Monday,R110,236
04:30,Monday,R111,134
04:30,Monday,R112,193
04:45,Monday,R101,258
04:45,Monday,R102,205
04:45,Monday,R103,225
04:45,Monday,R104,149
04:45,Monday,R105,178
04:45,Monday,R106,105
04:45,Monday,R107,164
04:45,Monday,R108,115
04:45,Monday,R109,104
04:45,Monday,R110,214
04:45,Monday,R111,116
04:45,Monday,R112,242
05:00,Monday,R101,257
05:00,Monday,R102,185
05:00,Monday,R103,256
05:00,Monday,R104,166
05:00,Monday,R105,147
05:00,Monday,R106,113
05:00,Monday,R107,99
05:00,Monday,R108,83
05:00,Monday,R109,199
05:00,Monday,R110,220
05:00,Monday,R111,101
05:00,Monday,R112,244
05:15,Monday,R101,331
05:15,Monday,R102,215
05:15,Monday,R103,207
05:15,Monday,R104,133
05:15,Monday,R105,209
05:15,Monday,R106,105
05:15,Monday,R107,122
05:15,Monday,R108,120
05:15,Monday,R109,133
05:15,Monday,R110,209
05:15,Monday,R111,80
05:15,Monday,R112,197
05:30,Monday,R101,274
05:30,Monday,R102,160
05:30,Monday,R103,288
05:30,Monday,R104,111
05:30,Monday,R105,168
05:30,Monday,R106,127
05:30,Monday,R107,148
05:30,Monday,R108,80
05:30,Monday,R109,187
05:30,Monday,R110,213
05:30,Monday,R111,110
05:30,Monday,R112,236
05:45,Monday,R101,290
05:45,Monday,R102,179
05:45,Monday,R103,254
05:45,Monday,R104,140
05:45,Monday,R105,185
05:45,Monday,R106,142
05:45,Monday,R107,154
05:45,Monday,R108,80
05:45,Monday,R109,214
05:45,Monday,R110,167
05:45,Monday,R111,133
05:45,Monday,R112,243
06:00,Monday,R101,299
06:00,Monday,R102,184
06:00,Monday,R103,255
06:00,Monday,R104,142
06:00,Monday,R105,171
06:00,Monday,R106,150
06:00,Monday,R107,127
06:00,Monday,R108,89
06:00,Monday,R109,189
06:00,Monday,R110,229
06:00,Monday,R111,161
06:00,Monday,R112,251
06:15,Monday,R101,284
06:15,Monday,R102,195
06:15,Monday,R103,292
06:15,Monday,R104,178
06:15,Monday,R105,193
06:15,Monday,R106,137
06:15,Monday,R107,155
06:15,Monday,R108,97
06:15,Monday,R109,189
06:15,Monday,R110,224
06:15,Monday,R111,141
06:15,Monday,R112,273
06:30,Monday,R101,344
06:30,Monday,R102,244
06:30,Monday,R103,326
06:30,Monday,R104,176
06:30,Monday,R105,221
06:30,Monday,R106,135
06:30,Monday,R107,139
06:30,Monday,R108,117
06:30,Monday,R109,192
06:30,Monday,R110,257
06:30,Monday,R111,135
06:30,Monday,R112,315
06:45,Monday,R101,327
06:45,Monday,R102,214
06:45,Monday,R103,352
06:45,Monday,R104,215
06:45,Monday,R105,236
06:45,Monday,R106,171
06:45,Monday,R107,144
06:45,Monday,R108,110
06:45,Monday,R109,212
06:45,Monday,R110,245
06:45,Monday,R111,193
06:45,Monday,R112,284
07:00,Monday,R101,373
07:00,Monday,R102,267
07:00,Monday,R103,377
07:00,Monday,R104,208
07:00,Monday,R105,224
07:00,Monday,R106,179
07:00,Monday,R107,168
07:00,Monday,R108,137
07:00,Monday,R109,228
07:00,Monday,R110,296
07:00,Monday,R111,153
07:00,Monday,R112,289
07:15,Monday,R101,433
07:15,Monday,R102,313
07:15,Monday,R103,434
07:15,Monday,R104,298
07:15,Monday,R105,299
07:15,Monday,R106,194
07:15,Monday,R107,187
07:15,Monday,R108,149
07:15,Monday,R109,281
07:15,Monday,R110,323
07:15,Monday,R111,224
07:15,Monday,R112,354
07:30,Monday,R101,540
07:30,Monday,R102,413
07:30,Monday,R103,504
07:30,Monday,R104,322
07:30,Monday,R105,339
07:30,Monday,R106,222
07:30,Monday,R107,226
07:30,Monday,R108,208
07:30,Monday,R109,338
07:30,Monday,R110,363
07:30,Monday,R111,254
07:30,Monday,R112,454
07:45,Monday,R101,665
